Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
7492,species,Brown-backed Needletail,Hirundapus giganteus,Brown-backed Needletail,,,Hirundapus,giganteus,,Aerial-Insectivore,,,,
7496,spuh,Hirundapus sp.,Hirundapus sp.,,,,Hirundapus,sp.,,Aerial-Insectivore,,,,
7498,species,Glossy Swiftlet,Collocalia esculenta,Glossy Swiftlet,,,Collocalia,esculenta,,Aerial-Insectivore,,,,
7537,spuh,white-bellied swiftlet sp.,Collocalia sp.,,,,Collocalia,sp.,,Aerial-Insectivore,,,,
7540,species,Indian Swiftlet,Aerodramus unicolor,Indian Swiftlet,,,Aerodramus,unicolor,,Aerial-Insectivore,,,,
7564,species,Himalayan Swiftlet,Aerodramus brevirostris,Himalayan Swiftlet,,,Aerodramus,brevirostris,,Aerial-Insectivore,,,,
7613,species,White-nest Swiftlet,Aerodramus fuciphagus,White-nest Swiftlet (Edible-nest Swiftlet),,,Aerodramus,fuciphagus,,Aerial-Insectivore,,,,
7625,spuh,dark swiftlet sp.,Aerodramus sp.,,,,Aerodramus,sp.,,Aerial-Insectivore,,,,
7626,spuh,swiftlet sp.,Collocalia/Aerodramus sp.,,,,Collocalia/Aerodramus,sp.,,Aerial-Insectivore,,,,
7632,species,Alpine Swift,Apus melba,Alpine Swift,,,Apus,melba,,Aerial-Insectivore,,,,
7649,species,Common Swift,Apus apus,Common Swift,,,Apus,apus,,Aerial-Insectivore,,,,
7660,slash,Common/Pallid Swift,Apus apus/pallidus,,,,Apus,apus/pallidus,,Aerial-Insectivore,,,,
7684,species,Blyth's Swift,Apus leuconyx,Blyth's Swift (Fork-tailed Swift),,,Apus,leuconyx,,Aerial-Insectivore,,,,
7687,spuh,fork-tailed swift sp.,Apus pacificus/salimalii/leuconyx/cooki,,,,Apus,pacificus/salimalii/leuconyx/cooki,,Aerial-Insectivore,,,,
7688,species,Dark-rumped Swift,Apus acuticauda,Dark-rumped Swift,Vulnerable,,Apus,acuticauda,,Aerial-Insectivore,,,,
7689,species,Little Swift,Apus affinis,Little Swift (Indian House Swift),,,Apus,affinis,,Aerial-Insectivore,,,,
7697,species,House Swift,Apus nipalensis,House Swift (Nepal House Swift),,,Apus,nipalensis,,Aerial-Insectivore,,,,
7702,slash,Little/House Swift,Apus affinis/nipalensis,,,,Apus,affinis/nipalensis,,Aerial-Insectivore,,,,
7708,spuh,Apus sp.,Apus sp.,,,,Apus,sp.,,Aerial-Insectivore,,,,
7724,species,Asian Palm-Swift,Cypsiurus balasiensis,Asian Palm-Swift,,,Cypsiurus,balasiensis,,Aerial-Insectivore,,,,
7748,spuh,large swift sp.,Apodidae sp. (large swift sp.),,,,Apodidae,sp.,,Aerial-Insectivore,,,,
7749,spuh,small swift sp.,Apodidae sp. (small swift sp.),,,,Apodidae,sp.,,Aerial-Insectivore,,,,
7750,spuh,swift sp.,Apodidae sp.,,,,Apodidae,sp.,,Aerial-Insectivore,,,,
7751,species,Crested Treeswift,Hemiprocne coronata,Crested Treeswift,,,Hemiprocne,coronata,,Aerial-Insectivore,,,,
8863,species,Malabar Trogon,Harpactes fasciatus,Malabar Trogon,,,Harpactes,fasciatus,,Canopy-Insectivore,,,,
8885,species,Red-headed Trogon,Harpactes erythrocephalus,Red-headed Trogon,,,Harpactes,erythrocephalus,,Canopy-Insectivore,,,,
8902,species,Ward's Trogon,Harpactes wardi,Ward's Trogon,Near-threatened,,Harpactes,wardi,,Canopy-Insectivore,,,,
8903,spuh,asian trogon sp.,Harpactes sp.,,,,Harpactes,sp.,,Canopy-Insectivore,,,,
8904,species,Eurasian Hoopoe,Upupa epops,Eurasian Hoopoe,,,Upupa,epops,,Terrestrial-Insectivore,,,X,
8967,spuh,Lophoceros sp.,Lophoceros sp.,,,,Lophoceros,sp.,,Terrestrial-Insectivore,,,X,
9014,species,Great Hornbill,Buceros bicornis,Great Hornbill (Great Pied Hornbill),Vulnerable,,Buceros,bicornis,,Frugivore,,,,
9016,species,Brown Hornbill,Anorrhinus austeni,Brown Hornbill,Near-threatened,,Anorrhinus,austeni,,Frugivore,,,,
9018,species,Indian Gray Hornbill,Ocyceros birostris,Indian Grey Hornbill,,,Ocyceros,birostris,,Frugivore,,,,
9019,species,Malabar Gray Hornbill,Ocyceros griseus,Malabar Grey Hornbill,,X,Ocyceros,griseus,,Frugivore,,,,
9023,species,Malabar Pied-Hornbill,Anthracoceros coronatus,Malabar Pied-Hornbill,Near-threatened,,Anthracoceros,coronatus,,Frugivore,,,,
9024,species,Oriental Pied-Hornbill,Anthracoceros albirostris,Oriental Pied-Hornbill,,,Anthracoceros,albirostris,,Frugivore,,,,
9028,species,Rufous-necked Hornbill,Aceros nipalensis,Rufous-necked Hornbill,Vulnerable,,Aceros,nipalensis,,Frugivore,,,,
9031,species,Wreathed Hornbill,Rhyticeros undulatus,Wreathed Hornbill,,,Rhyticeros,undulatus,,Frugivore,,,,
9033,species,Narcondam Hornbill,Rhyticeros narcondami,Narcondam Hornbill,Endangered,,Rhyticeros,narcondami,,Frugivore,,,,
9056,spuh,hornbill sp.,Bucerotidae sp.,,,,Bucerotidae,sp.,,Frugivore,,,,
9125,species,Blyth's Kingfisher,Alcedo hercules,Blyth's Kingfisher,Near-threatened,,Alcedo,hercules,,Carnivore-Piscivore,,,,
9126,species,Common Kingfisher,Alcedo atthis,Common Kingfisher (Small Blue Kingfisher),,,Alcedo,atthis,,Carnivore-Piscivore,,,,
9143,species,Blue-eared Kingfisher,Alcedo meninting,Blue-eared Kingfisher,,,Alcedo,meninting,,Carnivore-Piscivore,,,,
9184,species,Black-backed Dwarf-Kingfisher,Ceyx erithaca,Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher),,,Ceyx,erithaca,,Piscivore-Insectivore,,,,
9190,species,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,,,Ceyx,rufidorsa,,Piscivore-Insectivore,,,,
