Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
4690,slash,Little/Saunders's Tern,Sternula albifrons/saundersi,,,,Sternula,albifrons/saundersi,,Carnivore-Piscivore,,,,
4695,species,Gull-billed Tern,Gelochelidon nilotica,Gull-billed Tern,,,Gelochelidon,nilotica,,Carnivore-Piscivore,,,,
4703,species,Caspian Tern,Hydroprogne caspia,Caspian Tern,,,Hydroprogne,caspia,,Carnivore-Piscivore,,,,
4705,species,Black Tern,Chlidonias niger,Black Tern,,,Chlidonias,niger,,Carnivore-Piscivore,,,,
4708,species,White-winged Tern,Chlidonias leucopterus,White-winged Tern,,,Chlidonias,leucopterus,,Carnivore-Piscivore,,,,
4709,species,Whiskered Tern,Chlidonias hybrida,Whiskered Tern,,,Chlidonias,hybrida,,Carnivore-Piscivore,,,,
4714,spuh,Chlidonias sp.,Chlidonias sp.,,,,Chlidonias,sp.,,Carnivore-Piscivore,,,,
4715,species,Roseate Tern,Sterna dougallii,Roseate Tern,,,Sterna,dougallii,,Pelagic-Piscivore,,,,
4725,species,Black-naped Tern,Sterna sumatrana,Black-naped Tern,,,Sterna,sumatrana,,Pelagic-Piscivore,,,,
4728,species,Common Tern,Sterna hirundo,Common Tern,,,Sterna,hirundo,,Carnivore-Piscivore,,,,
4734,species,Arctic Tern,Sterna paradisaea,Arctic Tern,,,Sterna,paradisaea,,Pelagic-Piscivore,,,,
4735,slash,Common/Arctic Tern,Sterna hirundo/paradisaea,,,,Sterna,hirundo/paradisaea,,Carnivore-Piscivore,,,,
4748,species,Black-bellied Tern,Sterna acuticauda,Black-bellied Tern,Endangered,,Sterna,acuticauda,,Carnivore-Piscivore,,,,
4749,species,River Tern,Sterna aurantia,River Tern,Near-threatened,,Sterna,aurantia,,Carnivore-Piscivore,,,,
4750,species,White-cheeked Tern,Sterna repressa,White-cheeked Tern,,,Sterna,repressa,,Pelagic-Piscivore,,,,
4752,spuh,Sterna sp.,Sterna sp.,,,,Sterna,sp.,,Carnivore-Piscivore,,,,
4756,species,Great Crested Tern,Thalasseus bergii,Great Crested Tern,,,Thalasseus,bergii,,Pelagic-Piscivore,,,,
4761,species,Sandwich Tern,Thalasseus sandvicensis,Sandwich Tern,,,Thalasseus,sandvicensis,,Pelagic-Piscivore,,,,
4769,species,Lesser Crested Tern,Thalasseus bengalensis,Lesser Crested Tern,,,Thalasseus,bengalensis,,Pelagic-Piscivore,,,,
4775,spuh,large tern sp.,Hydroprogne/Thalasseus sp.,,,,Hydroprogne/Thalasseus,sp.,,Pelagic-Piscivore,,,,
4776,spuh,tern sp.,Sterninae sp.,,,,Sterninae,sp.,,Carnivore-Piscivore,,,,
4782,species,Indian Skimmer,Rynchops albicollis,Indian Skimmer,Vulnerable,,Rynchops,albicollis,,Carnivore-Piscivore,,,,
4783,spuh,gull/tern sp.,Laridae sp.,,,,Laridae,sp.,,Carnivore-Piscivore,,,,
4784,species,Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetan Sandgrouse,,,Syrrhaptes,tibetanus,,Granivore-Insectivore,,,,
4785,species,Pallas's Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,,,Syrrhaptes,paradoxus,,Granivore-Insectivore,,,,
4786,species,Pin-tailed Sandgrouse,Pterocles alchata,Pin-tailed Sandgrouse,,,Pterocles,alchata,,Granivore-Insectivore,,,,
4790,species,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse,,,Pterocles,exustus,,Granivore-Insectivore,,,,
4798,species,Spotted Sandgrouse,Pterocles senegallus,Spotted Sandgrouse,,,Pterocles,senegallus,,Granivore-Insectivore,,,,
4799,species,Black-bellied Sandgrouse,Pterocles orientalis,Black-bellied Sandgrouse,,,Pterocles,orientalis,,Granivore-Insectivore,,,,
4828,species,Painted Sandgrouse,Pterocles indicus,Painted Sandgrouse,,,Pterocles,indicus,,Granivore-Insectivore,,,,
4830,spuh,sandgrouse sp.,Pterocles sp.,,,,Pterocles,sp.,,Granivore-Insectivore,,,,
4831,species,Rock Pigeon,Columba livia,Rock Pigeon (Feral Pigeon),,,Columba,livia,,Omnivore,,,,
4847,species,Hill Pigeon,Columba rupestris,Hill Pigeon,,,Columba,rupestris,,Frugivore-Insectivore,,,,
4850,species,Snow Pigeon,Columba leuconota,Snow Pigeon,,,Columba,leuconota,,Frugivore-Insectivore,,,,
4860,species,Pale-backed Pigeon,Columba eversmanni,Pale-backed Pigeon (Yellow-eyed Pigeon),Vulnerable,,Columba,eversmanni,,Frugivore-Insectivore,,,,
4862,species,Common Wood-Pigeon,Columba palumbus,Common Wood-Pigeon,,,Columba,palumbus,,Frugivore-Insectivore,,,,
4890,species,Speckled Wood-Pigeon,Columba hodgsonii,Speckled Wood-Pigeon,,,Columba,hodgsonii,,Frugivore-Insectivore,,,,
4892,species,Ashy Wood-Pigeon,Columba pulchricollis,Ashy Wood-Pigeon,,,Columba,pulchricollis,,Frugivore-Insectivore,,,,
4893,species,Nilgiri Wood-Pigeon,Columba elphinstonii,Nilgiri Wood-Pigeon,Vulnerable,X,Columba,elphinstonii,,Frugivore-Insectivore,,,,
4895,species,Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Vulnerable,,Columba,punicea,,Frugivore-Insectivore,,,,
4897,species,Andaman Wood-Pigeon,Columba palumboides,Andaman Wood-Pigeon,Near-threatened,,Columba,palumboides,,Frugivore-Insectivore,,,,
4914,spuh,Columba sp.,Columba sp.,,,,Columba,sp.,,Frugivore-Insectivore,,,,
4979,species,European Turtle-Dove,Streptopelia turtur,European Turtle-Dove,Vulnerable,,Streptopelia,turtur,,Granivore-Insectivore,,,,
4986,species,Oriental Turtle-Dove,Streptopelia orientalis,Oriental Turtle-Dove,,,Streptopelia,orientalis,,Granivore-Insectivore,,,,
4995,species,Eurasian Collared-Dove,Streptopelia decaocto,Eurasian Collared-Dove,,,Streptopelia,decaocto,,Granivore-Insectivore,,,,
5021,species,Red Collared-Dove,Streptopelia tranquebarica,Red Collared-Dove (Red Turtle-Dove),,,Streptopelia,tranquebarica,,Granivore-Insectivore,,,,
5030,species,Spotted Dove,Streptopelia chinensis,Spotted Dove,,,Streptopelia,chinensis,,Granivore-Insectivore,,,,
5035,species,Laughing Dove,Streptopelia senegalensis,Laughing Dove (Little Brown Dove),,,Streptopelia,senegalensis,,Granivore-Insectivore,,,,
5041,spuh,Streptopelia sp.,Streptopelia sp.,,,,Streptopelia,sp.,,Granivore-Insectivore,,,,
5042,species,Barred Cuckoo-Dove,Macropygia unchall,Barred Cuckoo-Dove,,,Macropygia,unchall,,Frugivore-Insectivore,,,,
5073,species,Andaman Cuckoo-Dove,Macropygia rufipennis,Andaman Cuckoo-Dove,Near-threatened,,Macropygia,rufipennis,,Frugivore-Insectivore,,,,
5103,spuh,Macropygia sp.,Macropygia sp.,,,,Macropygia,sp.,,Frugivore-Insectivore,,,,
5124,species,Asian Emerald Dove,Chalcophaps indica,Asian Emerald Dove,,,Chalcophaps,indica,,Granivore-Insectivore,,,,
5300,spuh,Leptotila sp.,Leptotila sp.,,,,Leptotila,sp.,,Granivore-Insectivore,,,,
5349,species,Nicobar Pigeon,Caloenas nicobarica,Nicobar Pigeon,Near-threatened,,Caloenas,nicobarica,,Terrestrial-Insectivore,,,X,
5438,species,Orange-breasted Pigeon,Treron bicinctus,Orange-breasted Pigeon,,,Treron,bicinctus,,Frugivore-Insectivore,,,,
5444,species,Gray-fronted Green-Pigeon,Treron affinis,Grey-fronted Green-Pigeon (Pompadour Green-Pigeon),,,Treron,affinis,,Frugivore-Insectivore,,,,
5445,species,Andaman Green-Pigeon,Treron chloropterus,Andaman Green-Pigeon,Near-threatened,,Treron,chloropterus,,Frugivore-Insectivore,,,,
5446,species,Ashy-headed Green-Pigeon,Treron phayrei,Ashy-headed Green-Pigeon,Near-threatened,,Treron,phayrei,,Frugivore-Insectivore,,,,
5453,species,Thick-billed Pigeon,Treron curvirostra,Thick-billed Pigeon (Thick-billed Green-Pigeon),,,Treron,curvirostra,,Frugivore-Insectivore,,,,
5463,species,Yellow-footed Pigeon,Treron phoenicopterus,Yellow-footed Pigeon (Yellow-footed Green-Pigeon),,,Treron,phoenicopterus,,Frugivore-Insectivore,,,,
5480,species,Pin-tailed Pigeon,Treron apicauda,Pin-tailed Pigeon (Pin-tailed Green-Pigeon),,,Treron,apicauda,,Frugivore-Insectivore,,,,
5502,species,Wedge-tailed Pigeon,Treron sphenurus,Wedge-tailed Pigeon (Wedge-tailed Green-Pigeon),,,Treron,sphenurus,,Frugivore-Insectivore,,,,
5517,spuh,Treron sp.,Treron sp.,,,,Treron,sp.,,Frugivore-Insectivore,,,,
5682,species,Green Imperial-Pigeon,Ducula aenea,Green Imperial-Pigeon,,,Ducula,aenea,,Frugivore-Insectivore,,,,
5696,species,Nicobar Imperial-Pigeon,Ducula nicobarica,Nicobar Imperial-Pigeon,,,Ducula,nicobarica,,Frugivore-Insectivore,,,,
5755,species,Mountain Imperial-Pigeon,Ducula badia,Mountain Imperial-Pigeon,,,Ducula,badia,,Frugivore-Insectivore,,,,
5768,species,Pied Imperial-Pigeon,Ducula bicolor,Pied Imperial-Pigeon,,,Ducula,bicolor,,Frugivore-Insectivore,,,,
5775,spuh,imperial-pigeon sp.,Ducula sp.,,,,Ducula,sp.,,Frugivore-Insectivore,,,,
5787,spuh,pigeon/dove sp.,Columbidae sp.,,,,Columbidae,sp.,,Frugivore-Insectivore,,,,
5931,species,Andaman Coucal,Centropus andamanensis,Andaman Coucal,,,Centropus,andamanensis,,Omnivore,,,,
5932,species,Greater Coucal,Centropus sinensis,Greater Coucal,,,Centropus,sinensis,,Omnivore,,,,
5951,species,Lesser Coucal,Centropus bengalensis,Lesser Coucal,,,Centropus,bengalensis,,Omnivore,,,,
5970,spuh,coucal sp.,Centropus sp.,,,,Centropus,sp.,,Omnivore,,,,
5976,species,Sirkeer Malkoha,Taccocua leschenaultii,Sirkeer Malkoha,,,Taccocua,leschenaultii,,Understory-Insectivore,,,X,
5990,species,Blue-faced Malkoha,Phaenicophaeus viridirostris,Blue-faced Malkoha,,,Phaenicophaeus,viridirostris,,Understory-Insectivore,,,X,
5994,species,Green-billed Malkoha,Phaenicophaeus tristis,Green-billed Malkoha,,,Phaenicophaeus,tristis,,Understory-Insectivore,,,X,
6010,species,Chestnut-winged Cuckoo,Clamator coromandus,Chestnut-winged Cuckoo,,,Clamator,coromandus,,Canopy-Insectivore,,,,X
6013,species,Pied Cuckoo,Clamator jacobinus,Pied Cuckoo (Jacobin Cuckoo),,,Clamator,jacobinus,,Canopy-Insectivore,,,,X
6050,slash,Yellow-billed/Black-billed Cuckoo,Coccyzus americanus/erythropthalmus,,,,Coccyzus,americanus/erythropthalmus,,Canopy-Insectivore,,,,X
6074,species,Asian Koel,Eudynamys scolopaceus,Asian Koel,,,Eudynamys,scolopaceus,,Frugivore-Insectivore,,,,X
6098,species,Asian Emerald Cuckoo,Chrysococcyx maculatus,Asian Emerald Cuckoo,,,Chrysococcyx,maculatus,,Canopy-Insectivore,,,,X
6099,species,Violet Cuckoo,Chrysococcyx xanthorhynchus,Violet Cuckoo,,,Chrysococcyx,xanthorhynchus,,Canopy-Insectivore,,,,X
6102,slash,Asian Emerald/Violet Cuckoo,Chrysococcyx maculatus/xanthorhynchus,,,,Chrysococcyx,maculatus/xanthorhynchus,,Canopy-Insectivore,,,,X
6141,spuh,bronze-cuckoo sp.,Chrysococcyx sp. (bronze-cuckoo sp.),,,,Chrysococcyx,sp.,,Canopy-Insectivore,,,,X
6142,spuh,Chrysococcyx sp.,Chrysococcyx sp.,,,,Chrysococcyx,sp.,,Canopy-Insectivore,,,,X
6155,species,Banded Bay Cuckoo,Cacomantis sonneratii,Banded Bay Cuckoo,,,Cacomantis,sonneratii,,Canopy-Insectivore,,,,X
6161,species,Plaintive Cuckoo,Cacomantis merulinus,Plaintive Cuckoo,,,Cacomantis,merulinus,,Canopy-Insectivore,,,,X
6166,species,Gray-bellied Cuckoo,Cacomantis passerinus,Grey-bellied Cuckoo,,,Cacomantis,passerinus,,Canopy-Insectivore,,,,X
6167,slash,Plaintive/Gray-bellied Cuckoo,Cacomantis merulinus/passerinus,,,,Cacomantis,merulinus/passerinus,,Canopy-Insectivore,,,,X
6184,spuh,Cacomantis sp.,Cacomantis sp.,,,,Cacomantis,sp.,,Canopy-Insectivore,,,,X
6191,species,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,,,Surniculus,dicruroides,,Canopy-Insectivore,,,,X
6199,species,Square-tailed Drongo-Cuckoo,Surniculus lugubris,Square-tailed Drongo-Cuckoo,,,Surniculus,lugubris,,Canopy-Insectivore,,,,X
6205,species,Large Hawk-Cuckoo,Hierococcyx sparverioides,Large Hawk-Cuckoo,,,Hierococcyx,sparverioides,,Canopy-Insectivore,,,,X
6208,species,Common Hawk-Cuckoo,Hierococcyx varius,Common Hawk-Cuckoo,,,Hierococcyx,varius,,Canopy-Insectivore,,,,X
6213,species,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,,,Hierococcyx,nisicolor,,Canopy-Insectivore,,,,X
6215,spuh,hawk-cuckoo sp.,Hierococcyx sp.,,,,Hierococcyx,sp.,,Canopy-Insectivore,,,,X
6220,species,Lesser Cuckoo,Cuculus poliocephalus,Lesser Cuckoo,,,Cuculus,poliocephalus,,Canopy-Insectivore,,,,X
6222,species,Indian Cuckoo,Cuculus micropterus,Indian Cuckoo,,,Cuculus,micropterus,,Canopy-Insectivore,,,,X
6227,species,Himalayan Cuckoo,Cuculus saturatus,Himalayan Cuckoo,,,Cuculus,saturatus,,Canopy-Insectivore,,,,X
6229,species,Common Cuckoo,Cuculus canorus,Common Cuckoo,,,Cuculus,canorus,,Canopy-Insectivore,,,,X
6236,slash,Himalayan/Oriental Cuckoo,Cuculus saturatus/optatus,,,,Cuculus,saturatus/optatus,,Canopy-Insectivore,,,,X
6237,slash,Common/Oriental Cuckoo,Cuculus canorus/optatus,,,,Cuculus,canorus/optatus,,Canopy-Insectivore,,,,X
6238,spuh,Cuculus sp.,Cuculus sp.,,,,Cuculus,sp.,,Canopy-Insectivore,,,,X
6239,spuh,cuckoo sp. (Cuculidae sp.),Cuculidae sp.,,,,Cuculidae,sp.,,Canopy-Insectivore,,,,X
6263,species,Australasian Grass-Owl,Tyto longimembris,Australasian Grass-Owl (Grass Owl),,,Tyto,longimembris,,Carnivore,X,,,
6271,species,Barn Owl,Tyto alba,Barn Owl,,,Tyto,alba,,Carnivore,X,,,
6305,species,Andaman Masked-Owl,Tyto deroepstorffi,Andaman Masked-Owl,,,Tyto,deroepstorffi,,Carnivore,X,,,
6308,species,Oriental Bay-Owl,Phodilus badius,Oriental Bay-Owl,,,Phodilus,badius,,Carnivore,X,,,
6313,species,Sri Lanka Bay-Owl,Phodilus assimilis,Sri Lanka Bay-Owl,,,Phodilus,assimilis,,Carnivore,X,,,
6318,species,Andaman Scops-Owl,Otus balli,Andaman Scops-Owl,Near-threatened,,Otus,balli,,Carnivore,X,,,
6328,species,Mountain Scops-Owl,Otus spilocephalus,Mountain Scops-Owl,,,Otus,spilocephalus,,Carnivore,X,,,
6342,species,Indian Scops-Owl,Otus bakkamoena,Indian Scops-Owl (Collared Scops-Owl),,,Otus,bakkamoena,,Carnivore,X,,,
6348,species,Collared Scops-Owl,Otus lettia,Collared Scops-Owl,,,Otus,lettia,,Carnivore,X,,,
6403,species,Nicobar Scops-Owl,Otus alius,Nicobar Scops-Owl,Data-deficient,,Otus,alius,,Carnivore,X,,,
6405,species,European Scops-Owl,Otus scops,European Scops-Owl,,,Otus,scops,,Carnivore,X,,,
6419,species,Pallid Scops-Owl,Otus brucei,Pallid Scops-Owl,,,Otus,brucei,,Carnivore,X,,,
6424,slash,European/Pallid Scops-Owl,Otus scops/brucei,,,,Otus,scops/brucei,,Carnivore,X,,,
6430,species,Oriental Scops-Owl,Otus sunia,Oriental Scops-Owl,,,Otus,sunia,,Carnivore,X,,,
6446,spuh,scops-owl sp.,Otus sp.,,,,Otus,sp.,,Carnivore,X,,,
6571,species,Eurasian Eagle-Owl,Bubo bubo,Eurasian Eagle-Owl,,,Bubo,bubo,,Carnivore,X,,,
6586,species,Rock Eagle-Owl,Bubo bengalensis,Rock Eagle-Owl (Indian Eagle-Owl),,,Bubo,bengalensis,,Carnivore,X,,,
6603,species,Spot-bellied Eagle-Owl,Bubo nipalensis,Spot-bellied Eagle-Owl,,,Bubo,nipalensis,,Carnivore,X,,,
6611,species,Dusky Eagle-Owl,Bubo coromandus,Dusky Eagle-Owl,,,Bubo,coromandus,,Carnivore,X,,,
6619,spuh,Bubo sp.,Bubo sp.,,,,Bubo,sp.,,Carnivore,X,,,
6625,species,Brown Fish-Owl,Ketupa zeylonensis,Brown Fish-Owl,,,Ketupa,zeylonensis,,Carnivore-Piscivore,X,,,
6631,species,Tawny Fish-Owl,Ketupa flavipes,Tawny Fish-Owl,,,Ketupa,flavipes,,Carnivore-Piscivore,X,,,
6632,species,Buffy Fish-Owl,Ketupa ketupu,Buffy Fish-Owl,,,Ketupa,ketupu,,Carnivore-Piscivore,X,,,
6648,species,Collared Owlet,Glaucidium brodiei,Collared Owlet,,,Glaucidium,brodiei,,Carnivore,X,,,
6707,species,Asian Barred Owlet,Glaucidium cuculoides,Asian Barred Owlet,,,Glaucidium,cuculoides,,Carnivore,X,,,
6717,species,Jungle Owlet,Glaucidium radiatum,Jungle Owlet,,,Glaucidium,radiatum,,Carnivore,X,,,
6720,slash,Asian Barred/Jungle Owlet,Glaucidium cuculoides/radiatum,,,,Glaucidium,cuculoides/radiatum,,Carnivore,X,,,
6731,spuh,Glaucidium sp.,Glaucidium sp.,,,,Glaucidium,sp.,,Carnivore,X,,,
6761,species,Spotted Owlet,Athene brama,Spotted Owlet,,,Athene,brama,,Carnivore,X,,,
6766,species,Forest Owlet,Athene blewitti,Forest Owlet,Critically endangered,,Athene,blewitti,,Carnivore,X,,,
6767,species,Little Owl,Athene noctua,Little Owl,,,Athene,noctua,,Carnivore,X,,,
6804,species,Mottled Wood-Owl,Strix ocellata,Mottled Wood-Owl,,,Strix,ocellata,,Carnivore,X,,,
6808,species,Brown Wood-Owl,Strix leptogrammica,Brown Wood-Owl,,,Strix,leptogrammica,,Carnivore-Piscivore,X,,,
6823,species,Tawny Owl,Strix aluco,Tawny Owl,,,Strix,aluco,,Carnivore,X,,,
6833,species,Himalayan Owl,Strix nivicolum,Himalayan Owl,,,Strix,nivicolum,,Carnivore,X,,,
6874,species,Long-eared Owl,Asio otus,Long-eared Owl,,,Asio,otus,,Carnivore,X,,,
6892,species,Short-eared Owl,Asio flammeus,Short-eared Owl,,,Asio,flammeus,,Carnivore,X,,,
6905,slash,Long-eared/Short-eared Owl,Asio otus/flammeus,,,,Asio,otus/flammeus,,Carnivore,X,,,
6910,spuh,Asio sp.,Asio sp.,,,,Asio,sp.,,Carnivore,X,,,
6918,species,Boreal Owl,Aegolius funereus,Boreal Owl,,,Aegolius,funereus,,Carnivore,X,,,
6949,species,Andaman Boobook,Ninox affinis,Andaman Hawk-Owl,Near-threatened,,Ninox,affinis,,Carnivore,X,,,
6968,species,Brown Boobook,Ninox scutulata,Brown Hawk-Owl,,,Ninox,scutulata,,Carnivore,X,,,
6978,species,Hume's Boobook,Ninox obscura,Hume?s Hawk-Owl,,,Ninox,obscura,,Carnivore,X,,,
7026,spuh,boobook sp.,Ninox sp.,,,,Ninox,sp.,,Carnivore,X,,,
7029,spuh,owl sp.,Strigiformes sp.,,,,Strigiformes,sp.,,Carnivore,X,,,
7050,species,Sri Lanka Frogmouth,Batrachostomus moniliger,Sri Lanka Frogmouth,,,Batrachostomus,moniliger,,Canopy-Insectivore,,,,
7051,species,Hodgson's Frogmouth,Batrachostomus hodgsoni,Hodgson's Frogmouth,,,Batrachostomus,hodgsoni,,Canopy-Insectivore,,,,
7063,spuh,Batrachostomus sp.,Batrachostomus sp.,,,,Batrachostomus,sp.,,Canopy-Insectivore,,,,
7073,species,Great Eared-Nightjar,Lyncornis macrotis,Great Eared-Nightjar,,,Lyncornis,macrotis,,Understory-Insectivore,,,X,
7241,species,Jungle Nightjar,Caprimulgus indicus,Jungle Nightjar (Indian Jungle Nightjar),,,Caprimulgus,indicus,,Understory-Insectivore,,,X,
7244,species,Gray Nightjar,Caprimulgus jotaka,Grey Nightjar (Eastern Jungle Nightjar),,,Caprimulgus,jotaka,,Understory-Insectivore,,,X,
7247,slash,Jungle/Gray Nightjar,Caprimulgus indicus/jotaka,,,,Caprimulgus,indicus/jotaka,,Understory-Insectivore,,,X,
7249,species,Eurasian Nightjar,Caprimulgus europaeus,Eurasian Nightjar (European Nightjar),,,Caprimulgus,europaeus,,Understory-Insectivore,,,X,
7270,species,Sykes's Nightjar,Caprimulgus mahrattensis,Sykes's Nightjar,,,Caprimulgus,mahrattensis,,Understory-Insectivore,,,X,
7275,species,Large-tailed Nightjar,Caprimulgus macrurus,Large-tailed Nightjar,,,Caprimulgus,macrurus,,Understory-Insectivore,,,X,
7282,species,Andaman Nightjar,Caprimulgus andamanicus,Andaman Nightjar,,,Caprimulgus,andamanicus,,Understory-Insectivore,,,X,
7284,species,Jerdon's Nightjar,Caprimulgus atripennis,Jerdon's Nightjar,,,Caprimulgus,atripennis,,Understory-Insectivore,,,X,
7302,species,Indian Nightjar,Caprimulgus asiaticus,Indian Nightjar,,,Caprimulgus,asiaticus,,Understory-Insectivore,,,X,
7315,species,Savanna Nightjar,Caprimulgus affinis,Savanna Nightjar,,,Caprimulgus,affinis,,Understory-Insectivore,,,X,
7347,spuh,Caprimulgus sp.,Caprimulgus sp.,,,,Caprimulgus,sp.,,Understory-Insectivore,,,X,
7348,spuh,nightjar sp.,Caprimulgidae sp.,,,,Caprimulgidae,sp.,,Understory-Insectivore,,,X,
7434,species,White-rumped Needletail,Zoonavena sylvatica,White-rumped Needletail (White-rumped Spinetail),,,Zoonavena,sylvatica,,Aerial-Insectivore,,,,
7485,species,White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,,,Hirundapus,caudacutus,,Aerial-Insectivore,,,,
7488,species,Silver-backed Needletail,Hirundapus cochinchinensis,Silver-backed Needletail,,,Hirundapus,cochinchinensis,,Aerial-Insectivore,,,,
