Taxonomy.Order,Category,English.name,Scientific.Name,English.India,IUCN,WG,Genus.Name,Species.Name,Subspecies.Name,Feeding Guild,Raptors,Primary Hole-nesters,Woodland Understorey Birds,Parasitic Cuckoos
1766,slash,Jungle/Rock Bush-Quail,Perdicula asiatica/argoondah,Jungle/Rock Bush-Quail,,,Perdicula,asiatica/argoondah,,Granivore-Insectivore,,,,
1767,species,Painted Bush-Quail,Perdicula erythrorhyncha,Painted Bush-Quail,,,Perdicula,erythrorhyncha,,Granivore-Insectivore,,,,
1770,species,Manipur Bush-Quail,Perdicula manipurensis,Manipur Bush-Quail,Critically Endangered,,Perdicula,manipurensis,,Granivore-Insectivore,,,,
1773,species,Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Critically Endangered,,Ophrysia,superciliosa,,Granivore-Insectivore,,,,
1613,species,Black Francolin,Francolinus francolinus,Black Francolin,,,Francolinus,francolinus,,Terrestrial-Insectivore,,,X,
1622,species,Painted Francolin,Francolinus pictus,Painted Francolin,,,Francolinus,pictus,,Terrestrial-Insectivore,,,X,
1610,species,Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,,,Francolinus,pintadeanus,,Terrestrial-Insectivore,,,X,
1605,species,Gray Francolin,Ortygornis pondicerianus,Gray Francolin,,,Ortygornis,pondicerianus,,Terrestrial-Insectivore,,,X,
1609,species,Swamp Francolin,Ortygornis gularis,Swamp Francolin,Vulnerable,,Ortygornis,gularis,,Terrestrial-Insectivore,,,X,
1579,species,Mountain Bamboo-Partridge,Bambusicola fytchii,Mountain Bamboo-Partridge,,,Bambusicola,fytchii,,Terrestrial-Insectivore,,,X,
1586,species,Red Junglefowl,Gallus gallus,Red Junglefowl,,,Gallus,gallus,,Terrestrial-Insectivore,,,X,
1593,species,Gray Junglefowl,Gallus sonneratii,Gray Junglefowl,,,Gallus,sonneratii,,Terrestrial-Insectivore,,,X,
1815,spuh,francolin/spurfowl sp.,Phasianidae sp. (francolin/spurfowl sp.),francolin/spurfowl sp.,,,Phasianidae,sp.,,Terrestrial-Insectivore,,,X,
1199,species,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,,,Ithaginis,cruentus,,Terrestrial-Insectivore,,,X,
1225,species,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,,,Lophophorus,impejanus,,Terrestrial-Insectivore,,,X,
1226,species,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,,,Lophophorus,sclateri,,Terrestrial-Insectivore,,,X,
1198,species,Snow Partridge,Lerwa lerwa,Snow Partridge,,,Lerwa,lerwa,,Terrestrial-Insectivore,,,X,
1214,species,Western Tragopan,Tragopan melanocephalus,Western Tragopan,Vulnerable,,Tragopan,melanocephalus,,Terrestrial-Insectivore,,,X,
1215,species,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,,,Tragopan,satyra,,Terrestrial-Insectivore,,,X,
1216,species,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Vulnerable,,Tragopan,blythii,,Terrestrial-Insectivore,,,X,
1219,species,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,,,Tragopan,temminckii,,Terrestrial-Insectivore,,,X,
1437,species,Mrs. Hume's Pheasant,Syrmaticus humiae,Mrs. Hume's Pheasant,Vulnerable,,Syrmaticus,humiae,,Terrestrial-Insectivore,,,X,
1482,species,Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Vulnerable,,Catreus,wallichii,,Terrestrial-Insectivore,,,X,
1496,species,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,,,Lophura,leucomelanos,,Terrestrial-Insectivore,,,X,
1578,spuh,pheasant sp.,Phasianidae sp. (pheasant sp.),pheasant sp.,,,Phasianidae,sp.,,Terrestrial-Insectivore,,,X,
1413,species,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,,,Perdix,hodgsoniae,,Terrestrial-Insectivore,,,X,
1232,species,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,,,Pucrasia,macrolopha,,Terrestrial-Insectivore,,,X,
6848,species,Red-throated Loon,Gavia stellata,Red-throated Loon,,,Gavia,stellata,,Aquatic-Ominvore,,,,
6849,species,Arctic Loon,Gavia arctica,Arctic Loon,,,Gavia,arctica,,Aquatic-Ominvore,,,,
6749,species,Little Grebe,Tachybaptus ruficollis,Little Grebe,,,Tachybaptus,ruficollis,,Aquatic-Ominvore,,,,
6787,species,Horned Grebe,Podiceps auritus,Horned Grebe (Slavonian Grebe),Vulnerable,,Podiceps,auritus,,Aquatic-Ominvore,,,,
6790,species,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,,,Podiceps,grisegena,,Aquatic-Ominvore,,,,
6793,species,Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,,,Podiceps,cristatus,,Aquatic-Ominvore,,,,
